Time, WaitQueueSize, AverageServiceTime, WorkingThreadCount, TotalThreadCount
11:14:14, 0, 0.100000, 0, 3
11:14:17, 0, 0.100000, 0, 3
11:14:20, 0, 0.100000, 0, 3
11:14:23, 0, 0.100000, 0, 3
11:14:26, 0, 0.100000, 0, 3
11:14:29, 0, 0.100000, 0, 3
11:14:32, 0, 0.100000, 0, 3
11:14:35, 0, 0.100000, 0, 3
11:14:38, 0, 0.100000, 0, 3
11:14:41, 0, 0.100000, 0, 3
11:14:44, 0, 0.100000, 0, 3
11:14:47, 0, 0.100000, 0, 3
11:14:50, 0, 0.100000, 0, 3
11:14:53, 0, 0.100000, 0, 3
11:14:56, 0, 0.100000, 0, 3
11:14:59, 0, 0.100000, 0, 3
11:15:2, 0, 0.100000, 0, 3
11:15:5, 0, 0.100000, 0, 3
11:15:8, 0, 0.100000, 0, 3
11:15:11, 0, 0.100000, 0, 3
11:15:14, 0, 0.100000, 0, 3
11:15:17, 0, 0.100000, 0, 3
11:15:20, 0, 0.100000, 0, 3
11:15:23, 0, 0.100000, 0, 3
11:15:26, 0, 0.100000, 0, 3
11:15:29, 0, 0.100000, 0, 3
11:15:32, 0, 0.100000, 0, 3
11:15:35, 0, 0.100000, 0, 3
11:15:38, 0, 0.100000, 0, 3
11:15:41, 0, 0.100000, 0, 3
11:15:44, 0, 0.100000, 0, 3
11:15:47, 0, 0.100000, 0, 3
11:15:50, 0, 0.100000, 0, 3
11:15:53, 0, 0.100000, 0, 3
11:15:56, 0, 0.100000, 0, 3
11:15:59, 0, 0.100000, 0, 3
11:16:2, 0, 0.100000, 0, 3
11:16:5, 0, 0.100000, 0, 3
11:16:8, 0, 0.100000, 0, 3
11:16:11, 0, 0.100000, 0, 3
11:16:14, 0, 0.100000, 0, 3
11:16:17, 0, 0.100000, 0, 3
11:16:20, 0, 0.100000, 0, 3
11:16:23, 0, 0.100000, 0, 3
11:16:26, 0, 0.100000, 0, 3
11:16:29, 0, 0.100000, 0, 3
11:16:32, 0, 0.100000, 0, 3
11:16:35, 0, 0.100000, 0, 3
11:16:38, 0, 0.100000, 0, 3
